#       x       RK1       RK2     Exact
   1.0000    2.0000    2.0000    2.0000
   1.9900   -1.9600    1.1009    0.3134
   2.9800   -1.4849    0.5503   -0.0617
   3.9700   -1.2146    0.2874   -0.1908
   4.9600   -1.0373    0.1462   -0.2425
   5.9500   -0.9108    0.0631   -0.2633
   6.9400   -0.8151    0.0108   -0.2701
   7.9300   -0.7400   -0.0236   -0.2700
   8.9200   -0.6791   -0.0470   -0.2664
   9.9100   -0.6286   -0.0634   -0.2611
  10.9000   -0.5860   -0.0750   -0.2548
  11.8900   -0.5494   -0.0833   -0.2482
  12.8800   -0.5177   -0.0893   -0.2416
  13.8700   -0.4898   -0.0935   -0.2350
  14.8600   -0.4651   -0.0966   -0.2286
  15.8500   -0.4431   -0.0986   -0.2225
  16.8400   -0.4233   -0.1000   -0.2166
  17.8300   -0.4054   -0.1009   -0.2110
  18.8200   -0.3891   -0.1013   -0.2056
  19.8100   -0.3743   -0.1014   -0.2005
  20.8000   -0.3606   -0.1013   -0.1957
  21.7900   -0.3480   -0.1009   -0.1910
  22.7800   -0.3364   -0.1004   -0.1866
  23.7700   -0.3256   -0.0998   -0.1825
  24.7600   -0.3155   -0.0991   -0.1785
  25.7500   -0.3061   -0.0984   -0.1746
  26.7400   -0.2973   -0.0976   -0.1710
  27.7300   -0.2891   -0.0967   -0.1675
  28.7200   -0.2814   -0.0958   -0.1642
  29.7100   -0.2741   -0.0949   -0.1610
  30.7000   -0.2672   -0.0940   -0.1579
  31.6900   -0.2607   -0.0930   -0.1550
  32.6800   -0.2545   -0.0921   -0.1522
  33.6700   -0.2486   -0.0912   -0.1495
  34.6600   -0.2431   -0.0902   -0.1469
  35.6500   -0.2378   -0.0893   -0.1444
  36.6400   -0.2327   -0.0884   -0.1420
  37.6300   -0.2279   -0.0875   -0.1397
  38.6200   -0.2233   -0.0866   -0.1374
  39.6100   -0.2189   -0.0857   -0.1353
  40.6000   -0.2147   -0.0848   -0.1332
  41.5900   -0.2107   -0.0840   -0.1312
  42.5800   -0.2068   -0.0831   -0.1292
  43.5700   -0.2031   -0.0823   -0.1274
  44.5600   -0.1995   -0.0815   -0.1255
  45.5500   -0.1961   -0.0807   -0.1238
  46.5400   -0.1928   -0.0799   -0.1221
  47.5300   -0.1896   -0.0791   -0.1204
  48.5200   -0.1865   -0.0783   -0.1188
  49.5100   -0.1835   -0.0776   -0.1172
  50.5000   -0.1807   -0.0768   -0.1157
  51.4900   -0.1779   -0.0761   -0.1143
  52.4800   -0.1752   -0.0754   -0.1128
  53.4700   -0.1727   -0.0747   -0.1114
  54.4600   -0.1702   -0.0740   -0.1101
  55.4500   -0.1677   -0.0733   -0.1088
  56.4400   -0.1654   -0.0727   -0.1075
  57.4300   -0.1631   -0.0720   -0.1062
  58.4200   -0.1609   -0.0714   -0.1050
  59.4100   -0.1587   -0.0708   -0.1038
  60.4000   -0.1567   -0.0702   -0.1027
  61.3900   -0.1546   -0.0696   -0.1016
  62.3800   -0.1527   -0.0690   -0.1005
  63.3700   -0.1508   -0.0684   -0.0994
  64.3600   -0.1489   -0.0678   -0.0983
  65.3500   -0.1471   -0.0673   -0.0973
  66.3400   -0.1453   -0.0667   -0.0963
  67.3300   -0.1436   -0.0662   -0.0953
  68.3200   -0.1419   -0.0656   -0.0944
  69.3100   -0.1403   -0.0651   -0.0935
  70.3000   -0.1387   -0.0646   -0.0925
  71.2900   -0.1371   -0.0641   -0.0916
  72.2800   -0.1356   -0.0636   -0.0908
  73.2700   -0.1341   -0.0631   -0.0899
  74.2600   -0.1327   -0.0626   -0.0891
  75.2500   -0.1313   -0.0622   -0.0883
  76.2400   -0.1299   -0.0617   -0.0875
  77.2300   -0.1286   -0.0612   -0.0867
  78.2200   -0.1273   -0.0608   -0.0859
  79.2100   -0.1260   -0.0604   -0.0851
  80.2000   -0.1247   -0.0599   -0.0844
  81.1900   -0.1235   -0.0595   -0.0837
  82.1800   -0.1223   -0.0591   -0.0830
  83.1700   -0.1211   -0.0587   -0.0823
  84.1600   -0.1199   -0.0582   -0.0816
  85.1500   -0.1188   -0.0578   -0.0809
  86.1400   -0.1177   -0.0574   -0.0802
  87.1300   -0.1166   -0.0571   -0.0796
  88.1200   -0.1155   -0.0567   -0.0790
  89.1100   -0.1145   -0.0563   -0.0783
  90.1000   -0.1135   -0.0559   -0.0777
  91.0900   -0.1125   -0.0555   -0.0771
  92.0800   -0.1115   -0.0552   -0.0765
  93.0700   -0.1105   -0.0548   -0.0759
  94.0600   -0.1096   -0.0545   -0.0754
  95.0500   -0.1087   -0.0541   -0.0748
  96.0400   -0.1077   -0.0538   -0.0742
  97.0300   -0.1068   -0.0535   -0.0737
  98.0200   -0.1060   -0.0531   -0.0732
  99.0100   -0.1051   -0.0528   -0.0726
